CENTROID_ID,NEAREST_CENTROIDS_DISTANCE,PULocationID,BinNum,duration,num_trips
4,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""1.0616614382159091""
  }, {
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""1.1502013449565052""
  }, {
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""1.3427843763982426""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.508246610169838""
  }]
}",143,6,20.84827586,145
2,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""0.23001728907200314""
  }, {
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""1.9521827752784615""
  }, {
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""2.3292340049240647""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.600663362670204""
  }]
}",166,11,16.6993865,163
4,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""0.91273267911094313""
  }, {
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""1.7161005328249217""
  }, {
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""2.8000628710629383""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.687907491050515""
  }]
}",249,10,30.24087591,137
2,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""0.44750521872478849""
  }, {
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""2.28811739873384""
  }, {
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""2.3241378371401149""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.5907274738761927""
  }]
}",41,11,13.46190476,210
1,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""0.67483075963864347""
  }, {
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""1.8452297659292347""
  }, {
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""2.4239133320510988""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.6661491646499531""
  }]
}",249,2,19.65384615,52
4,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""0.63802697583635648""
  }, {
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""1.7938096616461381""
  }, {
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""2.6284935993167227""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.6991966715975622""
  }]
}",90,9,30.56818182,88
1,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""0.59779612667210968""
  }, {
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""2.381211723055328""
  }, {
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""2.6810102112490952""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.6489624010702713""
  }]
}",50,1,15.83974359,156
1,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""1.1947360730478829""
  }, {
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""1.9739563331942189""
  }, {
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""2.8813668677025719""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.5887706918138775""
  }]
}",262,5,6.489711934,243
2,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""0.76555942400159394""
  }, {
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""1.8102189997183058""
  }, {
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""2.3205010723468629""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.350175359021021""
  }]
}",229,9,11.33608247,485
4,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""1.1784253474653446""
  }, {
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""2.1118153284114412""
  }, {
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""2.8306649190062285""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.8059265789240975""
  }]
}",128,3,31.66666667,3
1,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""0.69958589254636971""
  }, {
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""2.2107077819043246""
  }, {
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""2.6875376306166827""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.7172951148488043""
  }]
}",209,1,17.875,48
4,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""0.98533139529249458""
  }, {
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""1.1680447481564522""
  }, {
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""2.4526715592236195""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.6325174936569677""
  }]
}",113,10,25.84210526,114
4,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""0.50992135737827116""
  }, {
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""1.4243420676209555""
  }, {
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""1.7240275664314826""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.6420432514616863""
  }]
}",128,7,25,1
1,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""1.0503600199733611""
  }, {
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""2.892025536997529""
  }, {
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""3.1596178815533507""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.7147423051043322""
  }]
}",229,1,7.857142857,210
2,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""0.73437820830533052""
  }, {
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""1.8181843257535721""
  }, {
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""2.7064882730406552""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.7324021645178522""
  }]
}",232,12,20.60465116,43
2,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""0.64749816747401223""
  }, {
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""1.4561053607701575""
  }, {
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""1.8961963739602588""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.0622999785313265""
  }]
}",161,9,19.40420272,809
2,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""0.95199684723345024""
  }, {
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""2.6715863404674809""
  }, {
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""2.790709099549002""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.7096270794536128""
  }]
}",162,12,10.16184971,173
4,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""0.99549836997368391""
  }, {
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""2.5935529668860289""
  }, {
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""3.0864940301476707""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.86321215401401""
  }]
}",211,8,36.58333333,48
1,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""1.3166363356809754""
  }, {
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""3.0206466005505015""
  }, {
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""3.4215315172810929""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.7497365155968136""
  }]
}",141,1,5.411764706,238
2,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""0.75897066007644376""
  }, {
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""1.7997210443565097""
  }, {
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""2.7155163297831084""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.7430748818847714""
  }]
}",45,12,20.86206897,29
2,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""0.73098429771345219""
  }, {
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""2.3820249996263905""
  }, {
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""2.5415578824757143""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.3406187639584424""
  }]
}",239,11,11.38166667,600
4,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""0.81896788024200284""
  }, {
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""2.5639239555007887""
  }, {
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""2.8471590537168927""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.8087003730515843""
  }]
}",231,7,35.58823529,68
2,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""0.89495106016345649""
  }, {
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""1.7050730503905032""
  }, {
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""2.7703820851004179""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.7572551908825""
  }]
}",261,12,22.27777778,18
1,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""1.0074443472965546""
  }, {
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""1.1053865020906204""
  }, {
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""1.640847779331746""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.5838782221196244""
  }]
}",230,5,21.4,55
2,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""0.60380430255322448""
  }, {
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""2.3844911856587667""
  }, {
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""2.6084693922623945""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.7033379768201531""
  }]
}",137,12,14.11607143,112
